,q_1,q_2,q_3,q_4,q_5,q_6,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_7,q_8
146,Sole e ascendente,Sono due cose diverse,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,5,5,Si,3,4,Più sicuro,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']",['Non ho una passione per le stelle']
147,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Mistica,Mai,Essere considerata come uno svago,1,1,Sono la stessa cosa (e non credo in entrambe),Ho una fede religiosa ma non sono praticante,1,1,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Diploma scuola superiore,Sud e Isole,"['Blog specializzati', ' Social network']",['Non ho una passione per le stelle']
148,Solo il sole (il segno),Non saprei,Spesso,Predittiva del futuro,Ricreativa,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,3,1,Non saprei,Ho una fede religiosa e sono praticante,3,4,Si,5,4,Più sicuro,Non saprei,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
149,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Mistica,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,3,Si,3,3,Impotente,Sono due concetti differenti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,['Giornali'],['Nessuno']
150,,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,4,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Diploma scuola superiore,Centro italia,"['Social network', ' Televisione', ' Giornali']",['Non ho una passione per le stelle']
151,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,4,Si,3,3,Non saprei,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
152,No,Sono due cose diverse,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Non saprei,Non credo in nulla,1,5,Si,3,3,Mi è indifferente,Sono due concetti differenti,No,Femminile,18-30,Phd (above and beyond),Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
153,Sole e ascendente,Non saprei,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,5,Si,1,1,Impotente,Sono due concetti differenti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
154,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,5,Si,1,1,Impotente,Sono due concetti differenti,Non saprei,Maschile,18-30,Diploma scuola superiore,Centro italia,['Giornali'],['Non ho una passione per le stelle']
155,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,5,4,Si,3,2,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Femminile,31-50,Diploma scuola superiore,Estero (really?),['Televisione'],['Pochi intimi (una persona di fiducia)']
156,Sole e ascendente,Non saprei,Spesso,Predittiva del futuro,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Non saprei,Non credo in nulla,2,4,Si,2,2,Impotente,Sono due concetti differenti,A volte,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
157,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,4,Si,1,1,Impotente,Sono due concetti differenti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Pochi intimi (una persona di fiducia)']
158,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,5,Si,2,2,Non saprei,Sono due concetti differenti,Non saprei,Maschile,18-30,Laurea magistrale,Centro italia,['Nessuna'],['Nessuno']
159,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Predittiva del futuro,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Credo in una o più entità superiore/i,4,5,Si,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Televisione', ' Giornali']","['Pochi intimi (una persona di fiducia)', ' Le mie amiche']"
160,Si,Condividono aspetti ma non sono la stessa cosa,Regolarmente,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,2,Si,5,5,Impotente,Sono due concetti differenti,Dipende,Altro,>50,Phd (above and beyond),Nord Italia,"['Social network', ' Televisione', ' Giornali']","['Le mie amiche', ' I miei amici e le mie amiche']"
161,No,Sono due cose diverse,Mai,Introspettiva,Mistica,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,3,Si,1,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,A volte,Maschile,>50,Diploma scuole medie,Nord Italia,['Nessuna'],['Nessuno']
162,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,3,Si,3,3,Più sicuro,Sono due concetti differenti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
163,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Spesso,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,3,Si,3,5,Più sicuro,Sono due concetti differenti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,"['Social network', ' Televisione']",['I miei amici e le mie amiche']
164,No,Sono due cose diverse,Quando mi capita,Predittiva del futuro,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,4,Si,4,4,Più sicuro,Sono due concetti differenti,No,Maschile,18-30,Laurea Triennale,Sud e Isole,['Televisione'],['Non ho una passione per le stelle']
165,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,4,Si,1,1,Impotente,Ho cercato adesso su google,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
166,Sole e ascendente,Non saprei,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono visioni mutualmente esclusive,Ho una fede religiosa e sono praticante,1,1,Si,5,5,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
167,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,In età adulta,Essere considerata un'importante ma personale visione del mondo,1,1,Non saprei,Non credo in nulla,3,4,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Estero (really?),"['Blog specializzati', ' Social network']",['Le mie amiche']
168,Sole e ascendente,Sono la stessa cosa,Spesso,Introspettiva,Predittiva del futuro,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Credo in una o più entità superiore/i,4,5,Si,1,1,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Televisione', ' Giornali']","['Non ho una passione per le stelle', ' Nessuno']"
169,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Introspettiva,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,2,4,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,2,Si,1,1,Impotente,Ho cercato adesso su google,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Studio autonomamente testi del settore'],['I miei amici e le mie amiche']
170,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Introspettiva,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,2,4,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,2,Si,1,1,Impotente,Ho cercato adesso su google,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Studio autonomamente testi del settore'],['I miei amici e le mie amiche']
171,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come uno svago,2,1,Non saprei,Non credo in nulla,2,3,Si,1,1,Impotente,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Non ho una passione per le stelle']
172,No,Sono due cose diverse,Quando mi capita,Mistica,Mistica,In età adolescenziale,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,2,5,Si,1,1,Più sicuro,Sono due concetti differenti,Dipende,Femminile,31-50,Laurea Triennale,Nord Italia,"['Social network', ' Giornali']",['Non ho una passione per le stelle']
173,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata un'importante ma personale visione del mondo,3,1,Sono diverse,Credo in una o più entità superiore/i,3,3,Si,3,1,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network', ' Giornali']",['I miei amici']
174,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,4,Si,1,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
175,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Ricreativa,Mai,Essere considerata come uno svago,1,1,Non saprei,Non credo in nulla,1,5,Si,1,1,Non saprei,Non saprei,No,Femminile,<18,Diploma scuole medie,Nord Italia,"['Social network', ' Televisione']",['Non ho una passione per le stelle']
176,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Non credo in nulla,4,3,Si,4,3,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,<18,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Giornali']",['Pochi intimi (una persona di fiducia)']
177,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Predittiva del futuro,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Ho una fede religiosa e sono praticante,5,5,Si,5,5,Più sicuro,Non saprei,No,Maschile,>50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
178,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,2,4,Si,3,3,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea magistrale,Estero (really?),['Nessuna'],['Non ho una passione per le stelle']
179,No,Non saprei,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Non saprei,Ho una fede religiosa ma non sono praticante,1,5,Si,1,1,Non saprei,Non saprei,Non saprei,Femminile,>50,Diploma scuole medie,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
180,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,4,Si,2,2,Non saprei,Sono due concetti differenti,No,Maschile,>50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
181,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,3,Si,2,2,Impotente,Non saprei,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Giornali'],['Le mie amiche']
182,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,4,Si,3,4,Più sicuro,Sono due concetti differenti,A volte,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
183,No,Non saprei,Quando mi capita,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,1,1,Si,5,1,Non saprei,Non saprei,No,Femminile,>50,Laurea magistrale,Nord Italia,['Giornali'],['Le mie amiche']
184,Sole e ascendente,Non saprei,Mai,Predittiva del futuro,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Si,5,5,Più sicuro,Sono due concetti differenti,No,Maschile,31-50,Laurea magistrale,Nord Italia,['Nessuna'],['Nessuno']
185,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,3,Si,4,3,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
186,No,Sono due cose diverse,Mai,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,2,Sono diverse,Non credo in nulla,3,5,Si,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
187,Sole e ascendente,Sono due cose diverse,Quando mi capita,Predittiva del futuro,Mistica,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse,Ho una fede religiosa e sono praticante,3,3,Si,2,2,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Diploma scuole medie,Nord Italia,"['Social network', ' Televisione']","['Pochi intimi (una persona di fiducia)', ' Le mie amiche']"
188,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa e sono praticante,3,3,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,>50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
189,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,3,Si,2,3,Non saprei,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Laurea Triennale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
190,No,Condividono aspetti ma non sono la stessa cosa,Mai,Mistica,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,4,Si,3,1,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],"['Pochi intimi (una persona di fiducia)', ' I miei amici e le mie amiche']"
191,Sole e ascendente,Non saprei,Quando mi capita,Ricreativa,Introspettiva,Fin da piccolo/a,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,3,Si,3,3,Impotente,Non saprei,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Nessuno']
192,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa e sono praticante,3,4,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,31-50,Diploma scuola superiore,Nord Italia,['Televisione'],['Nessuno']
193,No,Sono due cose diverse,Mai,Mistica,Non hanno nessuna funzione,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,5,Si,1,2,Non saprei,Non saprei,No,Femminile,>50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
194,Solo il sole (il segno),Non saprei,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,3,Si,3,5,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
195,Sole e ascendente,Non saprei,Mai,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,2,4,Si,2,2,Mi è indifferente,Ho cercato adesso su google,Dipende,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['La mia famiglia']
196,Solo il sole (il segno),Non saprei,Quando mi capita,Introspettiva,Mistica,Fin da piccolo/a,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,4,Si,4,2,Impotente,Non saprei,A volte,Femminile,18-30,Laurea magistrale,Estero (really?),['Social network'],['Pochi intimi (una persona di fiducia)']
197,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,5,Si,4,3,Non saprei,Ho cercato adesso su google,Dipende,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
198,Solo il sole (il segno),Non saprei,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,2,2,Non saprei,Ho una fede religiosa e sono praticante,3,2,Si,2,2,Non saprei,Non saprei,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
199,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Credo in una o più entità superiore/i,1,3,Non saprei,3,2,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
200,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,3,3,Si,3,3,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
201,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,4,Si,2,2,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Giornali']",['I social']
202,Sole e ascendente,Non saprei,Quando mi capita,Predittiva del futuro,Ricreativa,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Credo in una o più entità superiore/i,5,5,Si,3,3,Più sicuro,Non saprei,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network', ' Giornali']",['Pochi intimi (una persona di fiducia)']
203,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,3,Si,1,1,Impotente,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuole medie,Nord Italia,['Social network'],['Pochi intimi (una persona di fiducia)']
204,No,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Non credo in nulla,1,5,Si,4,4,Mi è indifferente,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
205,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,3,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['La mia famiglia']
206,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,4,Si,3,4,Mi è indifferente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Non ho una passione per le stelle']
207,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,3,2,Si,4,5,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Giornali']",['I miei amici e le mie amiche']
208,Solo il sole (il segno),Sono due cose diverse,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,5,Si,1,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
209,No,Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,5,Si,5,5,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
210,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Predittiva del futuro,Introspettiva,Fin da piccolo/a,Essere considerata come uno svago,5,3,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Si,5,4,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Femminile,31-50,Phd (above and beyond),Nord Italia,['Social network'],['I miei amici e le mie amiche']
211,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Spesso,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata come uno svago,3,1,Non saprei,Credo in una o più entità superiore/i,3,1,Si,4,4,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
212,Solo il sole (il segno),Sono due cose diverse,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,5,Si,1,1,Non saprei,Sono due concetti differenti,A volte,Femminile,31-50,Laurea magistrale,Nord Italia,['Nessuna'],['Pochi intimi (una persona di fiducia)']
213,Solo il sole (il segno),Non saprei,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,4,Si,2,4,Più sicuro,Sono due concetti differenti,Non saprei,Femminile,18-30,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Social network']",['Non ho una passione per le stelle']
214,No,Sono due cose diverse,Quando mi capita,Ricreativa,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa e sono praticante,4,4,Si,3,3,Più sicuro,Ho cercato adesso su google,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Non ho una passione per le stelle']
215,No,Non saprei,Mai,Ricreativa,Introspettiva,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,5,Si,2,1,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
216,Solo il sole (il segno),Sono due cose diverse,Mai,Ricreativa,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Non saprei,Credo in una o più entità superiore/i,3,4,Si,3,1,Non saprei,Non saprei,Dipende,Femminile,18-30,Diploma scuole medie,Nord Italia,['Social network'],['Non ho una passione per le stelle']
217,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,3,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Nessuna', ' Social network']",['La mia famiglia']
218,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Non credo in nulla,4,4,Si,1,1,Impotente,Sono due concetti differenti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Televisione', ' Giornali']",['Non ho una passione per le stelle']
219,Solo il sole (il segno),Non saprei,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,1,3,Si,3,4,Più sicuro,Sono due concetti differenti,A volte,Maschile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
220,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,2,2,Sono diverse,Ho una fede religiosa e sono praticante,3,2,Si,2,3,Non saprei,Sono sinonimi,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']",['I miei amici']
